connexion;geo_point_2d;geo_shape;id_gares;nom_gares;nom_so_gar;nom_su_gar;id_ref_zdc;nom_zdc;id_ref_zda;nom_zda;idrefliga;idrefligc;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;color;idf;principal;x;y;picto;nom_iv
287;48.78023729617356,2.281430595437461;"{""coordinates"": [2.281430595437461, 48.78023729617356], ""type"": ""Point""}";742;Robinson;;;427230;Robinson;43186;Robinson;A01857;C01743;RER B;B;RER;0;RER B;0;0;0;RATP;blue;1;1;647199.3342;6853589.6746;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Robinson
621;49.00975645120457,2.5612326952251054;"{""coordinates"": [2.561232695225105, 49.00975645120457], ""type"": ""Point""}";743;Aéroport Charles De Gaulle 1;;;73596;Aéroport CDG 1 (Terminal 3);462398;Aéroport CDG 1 (Terminal 3) - RER;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;blue;1;0;667900.8037;6878960.9005;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Aéroport Charles De Gaulle 1
743;49.00468746087186,2.57058948552452;"{""coordinates"": [2.57058948552452, 49.00468746087186], ""type"": ""Point""}";744;Aéroport Charles De Gaulle 2-TGV;;;73699;Aéroport CDG - Terminal 2 (TGV);473364;Aéroport Charles de Gaulle 2 (Terminal 2);A01857;C01743;RER B;B;RER;0;RER B;0;0;0;SNCF;blue;1;1;668582.2523;6878393.4208;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Aéroport Charles De Gaulle 2-TGV
102;48.78135672038832,2.297647677794033;"{""coordinates"": [2.297647677794033, 48.78135672038832], ""type"": ""Point""}";790;Sceaux;;;74265;Sceaux;59206;Sceaux;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;blue;1;0;648392.0449;6853703.414;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Sceaux
37;48.946893910210804,2.5247790470568603;"{""coordinates"": [2.52477904705686, 48.946893910210804], ""type"": ""Point""}";795;Sevran-Beaudottes;;;73491;Sevran Beaudottes;43193;Sevran Beaudottes;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;blue;1;0;665191.898;6871985.6773;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Sevran-Beaudottes
889;48.93628018471764,2.5347149747425233;"{""coordinates"": [2.534714974742523, 48.93628018471764], ""type"": ""Point""}";796;Sevran-Livry;;;73439;Sevran - Livry;43194;Sevran - Livry;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;blue;1;0;665912.7031;6870801.0786;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Sevran-Livry
164;48.852118881696434,2.3440211520552796;"{""coordinates"": [2.34402115205528, 48.852118881696434], ""type"": ""Point""}";827;Saint-Michel;Notre-Dame;;73620;Saint-Michel Notre-Dame;44877;Saint-Michel Notre-Dame;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;blue;1;0;651864.7911;6861541.954;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Saint-Michel
219;48.702751041142115,2.071242846320577;"{""coordinates"": [2.071242846320577, 48.702751041142115], ""type"": ""Point""}";839;Saint-Rémy-lès-Chevreuse;;;62978;Saint-Rémy-lès-Chevreuse;47889;Saint-Rémy-lès-Chevreuse;A01857;C01743;RER B;B;RER;0;RER B;0;0;0;RATP;blue;1;1;631653.9858;6845136.1632;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Saint-Rémy-lès-Chevreuse
904;48.944181065040624,2.5664480169629997;"{""coordinates"": [2.566448016963, 48.944181065040624], ""type"": ""Point""}";889;Vert-Galant;;;73482;Vert Galant;46222;Vert Galant;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;blue;1;0;668242.3008;6871666.4393;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Vert-Galant
551;48.95314838664854,2.6031353051184483;"{""coordinates"": [2.603135305118448, 48.95314838664854], ""type"": ""Point""}";904;Villeparisis-Mitry-le-Neuf;;;68916;Villeparisis - Mitry-le-Neuf;46725;Villeparisis - Mitry-le-Neuf;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;blue;1;0;670934.6343;6872649.5013;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Villeparisis-Mitry-le-Neuf
795;48.962709512366416,2.5126446278196126;"{""coordinates"": [2.512644627819613, 48.962709512366416], ""type"": ""Point""}";905;Villepinte;;;73547;Villepinte;58793;Villepinte;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;blue;1;0;664313.9648;6873749.8355;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Villepinte
