connexion;geo_point_2d;geo_shape;id_gares;nom_gares;nom_so_gar;nom_su_gar;id_ref_zdc;nom_zdc;id_ref_zda;nom_zda;idrefliga;idrefligc;res_com;ligne;mode;tertrain;terrer;termetro;tertram;terval;exploitant;color;idf;principal;x;y;picto;nom_iv
643;48.93445554412717,2.3456043781962896;"{""coordinates"": [2.34560437819629, 48.93445554412717], ""type"": ""Point""}";816;Saint-Denis;;;72323;Saint-Denis;412743;Saint-Denis;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;1;652056.8409;6870696.4072;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Saint-Denis
214;48.56507294010044,2.5426094498060037;"{""coordinates"": [2.542609449806004, 48.56507294010044], ""type"": ""Point""}";819;Saint-Fargeau;;;62172;Saint-Fargeau;45814;Saint-Fargeau;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;666251.9841;6829525.7859;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Saint-Fargeau
468;48.595563837056154,2.5839477110612497;"{""coordinates"": [2.58394771106125, 48.595563837056154], ""type"": ""Point""}";787;Savigny-le-Temple-Nandy;;;62290;Savigny-le-Temple - Nandy;47665;Savigny-le-Temple - Nandy;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;669319.9086;6832898.5028;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Savigny-le-Temple-Nandy
816;48.91756717565042,2.3503895378897672;"{""coordinates"": [2.350389537889767, 48.91756717565042], ""type"": ""Point""}";806;Stade de France-Saint-Denis;;;72206;Stade de France Saint-Denis;43204;Stade de France Saint-Denis;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;652391.9594;6868815.5548;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Stade de France-Saint-Denis
958;49.09958693826033,2.525531713992053;"{""coordinates"": [2.525531713992053, 49.09958693826033], ""type"": ""Point""}";845;Survilliers-Fosses;;;69450;Survilliers - Fosses;47958;Survilliers - Fosses;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;665349.0638;6888966.371;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Survilliers-Fosses
901;48.70812051332577,2.413871150351318;"{""coordinates"": [2.413871150351318, 48.70812051332577], ""type"": ""Point""}";893;Vigneux-sur-Seine;;;63071;Vigneux-sur-Seine;45735;Vigneux-sur-Seine;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;656871.3837;6845491.2648;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Vigneux-sur-Seine
270;48.59281218940513,2.4615501808974876;"{""coordinates"": [2.461550180897488, 48.59281218940513], ""type"": ""Point""}";894;Villabé;;;60124;Villabé;47904;Villabé;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;660292.2364;6832647.1609;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Villabé
902;48.730638291953525,2.4462264454387066;"{""coordinates"": [2.446226445438707, 48.730638291953525], ""type"": ""Point""}";901;Villeneuve-Saint-Georges;;;69568;Villeneuve-Saint-Georges;45067;Villeneuve-Saint-Georges;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;659269.6731;6847977.5816;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Villeneuve-Saint-Georges
1159;48.74450070121573,2.438668340778226;"{""coordinates"": [2.438668340778226, 48.74450070121573], ""type"": ""Point""}";902;Villeneuve-Triage;;;69671;Villeneuve Triage;46304;Villeneuve Triage;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;658724.7365;6849522.7369;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Villeneuve-Triage
333;48.993777145958845,2.416187488926983;"{""coordinates"": [2.416187488926983, 48.993777145958845], ""type"": ""Point""}";909;Villiers-le-Bel-Gonesse-Arnouville;;;66009;Villiers-le-Bel - Gonesse - Arnouville;43222;Villiers-le-Bel - Gonesse - Arnouville;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;657276.6642;6877252.6;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Villiers-le-Bel-Gonesse-Arnouville
387;48.67609243303041,2.386783798391593;"{""coordinates"": [2.386783798391593, 48.67609243303041], ""type"": ""Point""}";917;Viry-Châtillon;;;60981;Viry-Châtillon;43225;Viry-Châtillon;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;654850.6245;6841945.6583;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Viry-Châtillon
387;48.67609243303041,2.386783798391593;"{""coordinates"": [2.386783798391593, 48.67609243303041], ""type"": ""Point""}";917;Viry-Châtillon;;;60981;Viry-Châtillon;43225;Viry-Châtillon;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;654850.6245;6841945.6583;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Viry-Châtillon
85;48.5151514532052,2.5993042659192627;"{""coordinates"": [2.599304265919263, 48.5151514532052], ""type"": ""Point""}";921;Vosves;;;61850;Vosves;47967;Vosves;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;670406.944;6823953.6014;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Vosves
556;48.70661093476335,2.4842425564350696;"{""coordinates"": [2.48424255643507, 48.70661093476335], ""type"": ""Point""}";924;Yerres;;;63044;Yerres;43226;Yerres;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;662048.2876;6845287.3038;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Yerres
