connexion;geo_point_2d;geo_shape;id_gares;nom_gares;nom_so_gar;nom_su_gar;id_ref_zdc;nom_zdc;id_ref_zda;nom_zda;idrefliga;idrefligc;res_com;ligne;mode;tertrain;terrer;termetro;tertram;terval;exploitant;color;idf;principal;x;y;picto;nom_iv
42;48.85697199491403,2.274793324608879;"{""coordinates"": [2.274793324608879, 48.85697199491403], ""type"": ""Point""}";97;Boulainvilliers;;;71229;Boulainvilliers;45453;Boulainvilliers;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;646790.0;6862126.0;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Boulainvilliers
518;48.53289010230884,2.290082513840396;"{""coordinates"": [2.290082513840396, 48.53289010230884], ""type"": ""Point""}";101;Bouray;;;59830;Bouray;47905;Bouray;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;647587.8337;6826086.0185;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Bouray
829;48.60674494801255,2.3020596915826386;"{""coordinates"": [2.302059691582639, 48.60674494801255], ""type"": ""Point""}";108;Brétigny;;;60247;Brétigny;43098;Brétigny;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;1;648544.6367;6834288.0923;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Brétigny
254;48.57750848849613,2.192063068770896;"{""coordinates"": [2.192063068770896, 48.57750848849613], ""type"": ""Point""}";109;Breuillet;Bruyères-Le-Châtel;;60028;Breuillet - Bruyères-le-Châtel;47925;Breuillet - Bruyères-le-Châtel;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;640402.1892;6831115.3788;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Breuillet
109;48.56432890583279,2.170377259160042;"{""coordinates"": [2.170377259160042, 48.56432890583279], ""type"": ""Point""}";110;Breuillet-Village;;;59940;Breuillet Village;43099;Breuillet Village;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;638787.191;6829666.9011;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Breuillet-Village
292;48.98500470032524,2.2574741572503094;"{""coordinates"": [2.257474157250309, 48.98500470032524], ""type"": ""Point""}";134;Cernay;;;65752;Cernay;43105;Cernay;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;645653.172;6876374.6171;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Cernay
424;48.51424587436435,2.2155178119494896;"{""coordinates"": [2.21551781194949, 48.51424587436435], ""type"": ""Point""}";137;Chamarande;;;59734;Chamarande;47927;Gare de Chamarande;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;642062.4134;6824065.6531;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Chamarande
40;48.85645721060724,2.2898035182584997;"{""coordinates"": [2.2898035182585, 48.85645721060724], ""type"": ""Point""}";141;Champ de Mars;Tour Eiffel;;73844;Champ de Mars Tour Eiffel;58757;Champ de Mars Tour Eiffel;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;647890.7859;6862058.7507;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Champ de Mars
540;48.799728824409215,2.1836841098542354;"{""coordinates"": [2.183684109854235, 48.799728824409215], ""type"": ""Point""}";177;Chaville-Vélizy;;;69487;Chaville - Vélizy;47883;Chaville - Vélizy;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;640039.5422;6855826.5976;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Chaville-Vélizy
756;48.74794190095198,2.312711013515798;"{""coordinates"": [2.312711013515798, 48.74794190095198], ""type"": ""Point""}";179;Chemin d'Antony;;;69682;Chemin d'Antony;46035;Chemin d'Antony;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;649466.5142;6849978.5566;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Chemin d'Antony
